Tree_order,Gene,Protein,iTOL_label,Protein_name,Type,Class,Sequence,Signal_peptide,ECD_start,ECD_end,TM,Cytoplasm,MW_ECD,MW_(ECD+FC),Tree,Cloning,AddGene,Batch,Expression,Size,Glycan_array,ARM,Simple_Class
292,AT5G25930,AT5G25930.1,AT5G25930 HSL3/NUT,HSL3/NUT,RLK,LRR-XI,Y,22,23,630,631-651,652-1005,67.1,96.9,Y,X054,115110,#20,5,O,O,,LRR-RK
293,AT3G24660,AT3G24660.1,AT3G24660 TMKL1,TMKL1,RLK,LRR-III,Y,23,24,300,301-321,322-674,29.2,59,Y,X013,,#12,3,O,O,,LRR-RK
294,AT3G19700,AT3G19700.1,AT3G19700 IKU2,IKU2,RLK,LRR-XI,Y,19,20,613,614-634,635-991,65.3,95.1,Y,X076,115102,#20,4,O,O,,LRR-RK
295,AT1G09970,AT1G09970.2,AT1G09970 RLK7,RLK7,RLK,LRR-XI,Y,28,29,608,609-629,630-977,62.7,92.6,Y,C12,115095,#10,5,O,O,,LRR-RK
296,AT1G74360,AT1G74360.1,AT1G74360 GRACE/NILR1,GRACE/NILR1,RLK,LRR-Xb,Y,35,36,730,731-753,754-1106,77,106.8,Y,X038,115080,#20,5,O,O,,LRR-RK
297,AT2G42800,AT2G42800.1,AT2G42800 RLP29,RLP29,RLP,LRR-RLP,Y,33,34,462,0,0,47,76.8,Y,X113,,#16,0,,,,LRR-RLP
298,AT1G80080,AT1G80080.1,AT1G80080 RLP17/TMM,RLP17/TMM,RLP,LRR-RLP,Y,23,24,496,0,0,51.7,81.5,Y,X108,,#13,4,O,O,,LRR-RLP
299,AT2G16250,AT2G16250.1,AT2G16250 ARM3a,ARM3a,RLK,LRR-XIV,Y,28,29,446,447-470,471-915,45.6,75.5,Y,K09,115132,#18,4,O,O,O,LRR-RK
300,AT4G39270,AT4G39270.1,AT4G39270 ARM3b,ARM3b,RLK,LRR-XIV,Y,25,26,416,417-440,441-864,42.7,72.5,Y,K12,115133,#20,4,O,O,O,LRR-RK
301,AT5G24080,AT5G24080.1,AT5G24080 ,,RLK,SD-2b,Y,0,1,71,72-92,93-470,7.9,37.8,Y,,,,,,,,SD-RK
302,AT5G63410,AT5G63410.1,AT5G63410 ,,RLK,LRR-VI-1,Y,22,23,318,319-338,339-680,33.3,63.1,Y,X307,,#6,0,,,,LRR-RK
303,AT5G14210,AT5G14210.2,AT5G14210 ,,RLK,LRR-VI-1,Y,23,24,395,396-417,418-806,41,70.8,Y,X311,,#6,0,,,,LRR-RK
304,AT3G03770,AT3G03770.3,AT3G03770 ,,RLK,LRR-VI-1,Y,25,26,391,392-412,413-802,40.1,69.9,Y,O12,115038,,,,,,LRR-RK
305,AT2G02780,AT2G02780.1,AT2G02780 ,,RLK,LRR-VI-1,Y,27,28,354,355-377,378-742,35.7,65.5,Y,O11,115037,#12,2,O,,,LRR-RK
306,AT1G14390,AT1G14390.1,AT1G14390 ,,RLK,LRR-VI-1,Y,27,28,355,356-377,378-728,35.8,65.6,Y,O09,,#12,3,O,O,,LRR-RK
307,AT3G23750,AT3G23750.1,AT3G23750 BARK1/TMK4,BARK1/TMK4,RLK,LRR-IX,Y,24,25,478,479-495,496-928,47.8,77.6,Y,X073,115073,,,,,,LRR-RK
308,AT1G24650,AT1G24650.1,AT1G24650 TMK2,TMK2,RLK,LRR-IX,Y,20,21,461,462-482,483-886,47.6,77.4,Y,X034,115070,#19,1,O,O,,LRR-RK
309,AT2G01820,AT2G01820.1,AT2G01820 TMK3,TMK3,RLK,LRR-IX,Y,24,25,482,483-504,505-943,48.9,78.7,Y,X036,115072,#19,4,O,O,,LRR-RK
310,AT1G66150,AT1G66150.1,AT1G66150 TMK1,TMK1,RLK,LRR-IX,Y,23,24,482,483-503,504-942,49,78.8,Y,X035,115071,#19,5,O,O,,LRR-RK
311,AT2G31880,AT2G31880.1,AT2G31880 SOBIR1/EVR,SOBIR1/EVR,RLK,LRR_XVI,Y,31,32,287,288-308,309-641,28.4,58.2,Y,nD09,115075,#12,3,O,O,,LRR-RK
312,AT1G69270,AT1G69270.1,AT1G69270 RPK1,RPK1,RLK,LRR-XV,Y,19,20,198,199-220,221-540,19.3,49.1,Y,C01,,,,,,,LRR-RK
313,AT5G07150,AT5G07150.1,AT5G07150 ,,RLK,LRR-VI-2,Y,30,31,231,232-252,253-553,22.1,51.9,Y,X312,,#6,4,O,O,,LRR-RK
314,AT4G18640,AT4G18640.1,AT4G18640 MRH1/MDIS2,MRH1/MDIS2,RLK,LRR-VI-2,Y,25,26,323,324-344,345-678,32.8,62.6,Y,P01,115039,,,,,,LRR-RK
315,AT5G45840,AT5G45840.1,AT5G45840 MDIS1,MDIS1,RLK,LRR-VI-2,Y,29,30,351,352-372,373-706,36.2,66.1,Y,P04,,#22,3,O,O,,LRR-RK
316,AT5G41180,AT5G41180.1,AT5G41180 ,,RLK,LRR-VI-2,Y,27,28,278,279-299,300-664,27.9,57.8,Y,P03,115041,,,,,,LRR-RK
317,AT1G63430,AT1G63430.2,AT1G63430 ,,RLK,LRR-VI-2,Y,22,23,288,289-312,313-688,29.1,58.9,Y,O10,115036,#12,0,,,,LRR-RK
318,AT1G34290,AT1G34290.1,AT1G34290 ,,RLP,LRR-RLP,Y,26,27,169,170-190,191-266,16,45.8,Y,X114,,#16,5,O,O,,LRR-RLP
319,AT2G01950,AT2G01950.1,AT2G01950 VH1/BRL2,VH1/BRL2,RLK,LRR-Xb,Y,28,29,756,757-777,778-1143,79.1,109,Y,X039,115081,#10,2,O,O,,LRR-RK
320,AT1G55610,AT1G55610.2,AT1G55610 BRL1,BRL1,RLK,LRR-Xb,Y,24,25,776,777-797,798-1166,80.8,110.6,Y,B12,115077,#10,2,O,O,,LRR-RK
321,AT3G13380,AT3G13380.1,AT3G13380 BRL3,BRL3,RLK,LRR-Xb,Y,23,24,780,781-796,797-1164,80.7,110.5,Y,C07,115084,#10,3,O,O,,LRR-RK
322,AT3G28450,AT3G28450.1,AT3G28450 BIR2,BIR2,RLK,LRR-Xa,Y,28,29,229,230-250,251-605,21.8,51.6,Y,X043,115085,,,,,,LRR-RK
323,AT1G27190,AT1G27190.1,AT1G27190 BIR3,BIR3,RLK,LRR-Xa,Y,21,22,220,221-241,242-601,21.2,51,Y,B11,115076,#8,1,O,O,,LRR-RK
324,AT1G69990,AT1G69990.1,AT1G69990 BIR4,BIR4,RLK,LRR-Xa,Y,18,19,213,214-234,235-591,21.1,50.9,Y,C02,115078,#8,5,O,O,,LRR-RK
325,AT5G48380,AT5G48380.1,AT5G48380 BIR1,BIR1,RLK,LRR-Xa,Y,27,28,228,229-249,250-620,22.2,52,Y,C09,115088,#8,4,O,O,,LRR-RK
326,AT4G22730,AT4G22730.1,AT4G22730 ,,RLK,LRR-IV,Y,24,25,312,313-333,334-688,31.4,61.2,Y,K11,115024,#18,5,O,O,,LRR-RK
327,AT2G45340,AT2G45340.1,AT2G45340 ,,RLK,LRR-IV,Y,21,22,312,313-333,334-691,30.8,60.7,Y,K10,115023,#18,5,O,O,,LRR-RK
328,AT5G51560,AT5G51560.1,AT5G51560 HUB1,HUB1,RLK,LRR-IV,Y,26,27,309,310-330,331-680,30.4,60.2,Y,L01,115025,,,,,,LRR-RK
329,AT1G65380,AT1G65380.1,AT1G65380 RLP10/CLV2,RLP10/CLV2,RLP,LRR-RLP,Y,25,26,686,687-707,708-720,72.5,102.3,Y,F01,,#17,0,,,,LRR-RLP
330,AT5G65830,AT5G65830.1,AT5G65830 RLP57,RLP57,RLP,LRR-RLP,Y,31,32,237,238-257,258-279,22.6,52.4,Y,E09,,#11,1,O,O,,LRR-RLP
331,AT3G49750,AT3G49750.1,AT3G49750 RLP44,RLP44,RLP,LRR-RLP,Y,24,25,229,230-251,252-274,22.3,52.1,Y,D10,,#11,2,O,O,,LRR-RLP
332,AT2G15300,AT2G15300.1,AT2G15300 ,,RLK,LRR-III,Y,23,24,335,336-357,358-744,33.2,63,Y,X008,115013,#21,3,O,O,,LRR-RK
333,AT4G34220,AT4G34220.1,AT4G34220 RDK1,RDK1,RLK,LRR-III,Y,26,27,340,341-361,362-757,33.6,63.4,Y,X018,115018,#22,1,O,O,,LRR-RK
334,AT5G67280,AT5G67280.1,AT5G67280 RLK,RLK,RLK,LRR-III,Y,30,31,336,337-359,360-751,33,62.8,Y,X023,115021,,,,O,,LRR-RK
335,AT2G23300,AT2G23300.1,AT2G23300 ,,RLK,LRR-III,Y,30,31,333,334-355,356-773,32.2,62,Y,X009,115014,#12,2,O,O,,LRR-RK
336,AT4G37250,AT4G37250.1,AT4G37250 ,,RLK,LRR-III,Y,21,22,329,330-351,352-768,32.9,62.7,Y,X020,115019,,,,,,LRR-RK
337,AT5G24100,AT5G24100.1,AT5G24100 ,,RLK,LRR-III,Y,24,25,251,252-273,274-614,24.4,54.2,Y,K04,115003,,,,,,LRR-RK
338,AT1G64210,AT1G64210.1,AT1G64210 ,,RLK,LRR-III,Y,19,20,232,233-253,254-587,23.6,53.4,Y,I09,114984,#12,5,O,O,,LRR-RK
339,AT4G23740,AT4G23740.2,AT4G23740 ,,RLK,LRR-III,Y,24,25,257,258-278,279-638,25.7,55.5,Y,J11,114998,,,,,,LRR-RK
340,AT3G08680,AT3G08680.2,AT3G08680 ,,RLK,LRR-III,Y,22,23,261,262-282,283-640,25.4,55.2,Y,J04,114991,,,,,,LRR-RK
341,AT5G05160,AT5G05160.1,AT5G05160 RUL1,RUL1,RLK,LRR-III,Y,27,28,266,267-287,288-640,25.7,55.5,Y,K01,115000,,,,,,LRR-RK
342,AT5G58300,AT5G58300.3,AT5G58300 KOIN,KOIN,RLK,LRR-III,Y,43,44,281,282-302,303-654,25.5,55.4,Y,K08,115007,,,,,,LRR-RK
343,AT2G26730,AT2G26730.1,AT2G26730 ,,RLK,LRR-III,Y,23,24,257,258-278,279-658,25.3,55.1,Y,J01,114988,,,,,,LRR-RK
344,AT1G48480,AT1G48480.1,AT1G48480 RKL1,RKL1,RLK,LRR-III,Y,31,32,269,270-290,291-655,25.7,55.5,Y,,,,,,O,,LRR-RK
345,AT3G17840,AT3G17840.1,AT3G17840 RLK902,RLK902,RLK,LRR-III,Y,29,30,267,268-288,289-647,25.4,55.2,Y,J05,114992,#8,1,O,O,,LRR-RK
346,AT3G02880,AT3G02880.1,AT3G02880 KIN7/QSK1,KIN7/QSK1,RLK,LRR-III,Y,24,25,256,257-275,276-627,24.7,54.5,Y,J03,114990,#12,4,O,O,,LRR-RK
347,AT5G16590,AT5G16590.1,AT5G16590 LRR1/QSK2,LRR1/QSK2,RLK,LRR-III,Y,23,24,246,247-267,268-625,23.7,53.5,Y,K02,115001,,,,,,LRR-RK
348,AT2G35620,AT2G35620.4,AT2G35620 FEI2,FEI2,RLK,LRR-XIIIa,Y,28,29,236,237-258,259-589,22.2,52,Y,X041,115128,#8,5,O,O,,LRR-RK
349,AT1G31420,AT1G31420.3,AT1G31420 FEI1,FEI1,RLK,LRR-XIIIa,Y,29,30,239,240-260,261-592,22.7,52.5,Y,X037,115126,#8,5,O,O,,LRR-RK
350,AT3G47570,AT3G47570.1,AT3G47570 ,,RLK,LRR-XII,Y,19,20,641,642-664,665-1010,67.4,97.2,Y,L07,115124,#22,0,,,,LRR-RK
351,AT3G47090,AT3G47090.1,AT3G47090 ,,RLK,LRR-XII,Y,19,20,642,643-663,664-1009,68,97.8,Y,L05,115122,#18,5,X,O,,LRR-RK
352,AT3G47110,AT3G47110.1,AT3G47110 XPS1,XPS1,RLK,LRR-XII,Y,30,31,653,654-676,677-1025,67.2,97,Y,L06,115123,#21,1,O,,,LRR-RK
353,AT5G20480,AT5G20480.2,AT5G20480 EFR,EFR,RLK,LRR-XII,Y,24,25,649,650-670,671-1031,68.5,98.3,Y,D05,115119,#10,0,,,,LRR-RK
354,AT5G62710,AT5G62710.1,AT5G62710 ,,RLK,LRR-XIIIa,Y,23,24,240,241-262,263-604,23.8,53.6,Y,X045,115130,,,,,,LRR-RK
355,AT3G42880,AT3G42880.1,AT3G42880 PRK3,PRK3,RLK,LRR-III,Y,21,22,251,252-269,270-633,25.3,55.1,Y,J07,114994,#8,4,O,O,,LRR-RK
356,AT5G20690,AT5G20690.1,AT5G20690 PRK6,PRK6,RLK,LRR-III,Y,26,27,266,267-287,288-659,26.5,56.3,Y,K03,115002,#8,5,O,O,,LRR-RK
357,AT1G72460,AT1G72460.1,AT1G72460 PRK8,PRK8,RLK,LRR-III,Y,21,22,251,252-272,273-644,25,54.8,Y,I11,114986,#12,4,O,O,,LRR-RK
358,AT4G31250,AT4G31250.1,AT4G31250 PRK7,PRK7,RLK,LRR-III,Y,26,27,245,246-266,267-676,23.6,53.4,Y,J12,114999,#22,5,O,O,,LRR-RK
359,AT2G07040,AT2G07040.1,AT2G07040 PRK2/PRK2A,PRK2/PRK2A,RLK,LRR-III,Y,21,22,248,249-269,270-647,25.5,55.4,Y,I12,114987,,,,,,LRR-RK
360,AT5G35390,AT5G35390.1,AT5G35390 PRK1,PRK1,RLK,LRR-III,Y,31,32,256,257-277,278-662,24.6,54.4,Y,K05,115004,#8,1,O,O,,LRR-RK
361,AT3G20190,AT3G20190.1,AT3G20190 PRK4,PRK4,RLK,LRR-III,Y,39,40,282,283-302,303-679,26.5,56.3,Y,J06,114993,#8,5,O,O,,LRR-RK
362,AT1G50610,AT1G50610.1,AT1G50610 PRK5,PRK5,RLK,LRR-III,Y,39,40,284,285-304,305-686,26.4,56.2,Y,I07,114982,#8,3,O,O,,LRR-RK
363,AT5G43020,AT5G43020.1,AT5G43020 ARM1c,ARM1c,RLK,LRR-III,Y,24,25,279,280-301,302-669,28.3,58.1,Y,K06,115005,,,,,,LRR-RK
364,AT5G67200,AT5G67200.1,AT5G67200 ,,RLK,LRR-III,Y,21,22,282,283-304,305-669,28.2,58,Y,X306,,#6,4,O,O,,LRR-RK
365,AT3G50230,AT3G50230.2,AT3G50230 ,,RLK,LRR-III,Y,33,34,303,304-325,326-672,29,58.8,Y,J08,114995,,,,,,LRR-RK
366,AT1G68400,AT1G68400.1,AT1G68400 ,,RLK,LRR-III,Y,27,28,276,277-297,298-670,27,56.8,Y,I10,,#12,3,O,O,,LRR-RK
367,AT1G10850,AT1G10850.1,AT1G10850 ARM1a,ARM1a,RLK,LRR-III,Y,32,33,258,259-279,280-663,24.6,54.4,Y,X330,,#7,5,O,O,O,LRR-RK
368,AT1G60630,AT1G60630.1,AT1G60630 ARM1b,ARM1b,RLK,LRR-III,Y,23,24,251,252-273,274-652,24.9,54.7,Y,I08,114983,#22,4,O,O,O,LRR-RK
369,AT2G42290,AT2G42290.1,AT2G42290 ,,RLK,LRR-III,Y,23,24,277,278-298,299-646,27.5,57.4,Y,X012,115015,#12,3,O,O,,LRR-RK
370,AT3G57830,AT3G57830.3,AT3G57830 ,,RLK,LRR-III,Y,24,25,276,277-297,298-662,27.1,56.9,Y,X016,115017,,,,,,LRR-RK
371,AT1G75640,AT1G75640.1,AT1G75640 MUS,MUS,RLK,LRR-III,Y,24,25,754,755-777,778-1140,78.7,108.5,Y,X061,115050,#21,1,O,O,,LRR-RK
372,AT4G36180,AT4G36180.1,AT4G36180 MUL,MUL,RLK,LRR-III,Y,22,23,752,753-774,775-1136,78.4,108.2,Y,X019,115048,#19,3,O,O,,LRR-RK
373,AT5G39390,AT5G39390.1,AT5G39390 ,,RLK,LRR-XII,Y,23,24,168,169-189,190-502,16,45.8,Y,,,,,,,,LRR-RK
374,AT2G36570,AT2G36570.1,AT2G36570 PXC1,PXC1,RLK,LRR-III,Y,21,22,269,270-291,292-672,27,56.8,Y,J02,114989,,,,,,LRR-RK
375,AT1G11130,AT1G11130.1,AT1G11130 SUB/SCM/SRF9,SUB/SCM/SRF9,RLK,LRR-V,Y,24,25,341,342-362,363-768,33.7,63.5,Y,B01,115026,#12,1,O,O,,LRR-RK
376,AT4G03390,AT4G03390.1,AT4G03390 SRF3,SRF3,RLK,LRR-V,Y,29,30,316,317-337,338-776,30,59.9,Y,B07,115032,#12,0,,,,LRR-RK
377,AT2G20850,AT2G20850.1,AT2G20850 SRF1,SRF1,RLK,LRR-V,Y,31,32,314,315-335,336-775,29.8,59.6,Y,B04,115029,#12,4,O,O,,LRR-RK
378,AT1G78980,AT1G78980.1,AT1G78980 SRF5,SRF5,RLK,LRR-V,Y,22,23,273,274-294,295-699,27.2,57,Y,B03,115028,#12,1,O,O,,LRR-RK
379,AT3G13065,AT3G13065.1,AT3G13065 SRF4,SRF4,RLK,LRR-V,Y,25,26,278,279-299,300-687,27,56.8,Y,B05,115030,,,,,,LRR-RK
380,AT3G14350,AT3G14350.1,AT3G14350 SRF7,SRF7,RLK,LRR-V,Y,25,26,291,292-312,313-717,28,57.8,Y,B06,115031,#12,3,O,O,,LRR-RK
381,AT1G53730,AT1G53730.2,AT1G53730 SRF6,SRF6,RLK,LRR-V,Y,25,26,296,297-313,314-720,28.5,58.3,Y,B02,115027,#12,5,O,O,,LRR-RK
382,AT4G22130,AT4G22130.1,AT4G22130 SRF8,SRF8,RLK,LRR-V,Y,27,28,289,290-310,311-703,27.5,57.3,Y,B08,115033,#12,0,,,,LRR-RK
383,AT5G06820,AT5G06820.1,AT5G06820 SRF2,SRF2,RLK,LRR-V,Y,23,24,296,297-317,318-735,30.4,60.2,Y,nB09,,#12,5,O,O,,LRR-RK
384,AT1G79620,AT1G79620.5,AT1G79620 VRLK1,VRLK1,RLK,LRR-VIII-1,Y,30,31,594,595-615,616-997,61.8,91.6,Y,X024,115051,#21,5,O,O,,LRR-RK
385,AT5G49770,AT5G49770.1,AT5G49770 ,,RLK,LRR-VIII-1,Y,25,26,561,562-582,583-946,59,88.8,Y,X027,115068,#22,4,O,O,,LRR-RK
386,AT5G49780,AT5G49780.2,AT5G49780 ,,RLK,LRR-VIII-1,Y,23,24,561,562-584,585-978,59.4,89.3,Y,X065,115069,#22,3,O,O,,LRR-RK
387,AT5G49760,AT5G49760.1,AT5G49760 CARD1/HPCA1,CARD1/HPCA1,RLK,LRR-VIII-1,Y,23,24,558,559-579,580-953,58.7,88.5,Y,X026,115067,#22,0,,O,,LRR-RK
388,AT5G45800,AT5G45800.1,AT5G45800 MEE62,MEE62,RLK,LRR-VII,Y,17,18,296,297-318,319-666,31,60.8,Y,,,,,,,,LRR-RK
389,AT1G56145,AT1G56145.2,AT1G56145 IGP1/CORK1,IGP1/CORK1,RLK,LRR-VIII-2,Y,24,25,630,631-652,653-1039,66.3,96.1,Y,X321,,#6,0,,O,,LRR-RK
390,AT1G56120,AT1G56120.1,AT1G56120 ,,RLK,LRR-VIII-2,Y,0,1,653,654-675,676-1047,70.9,100.7,Y,X070,115060,#22,2,O,O,,LRR-RK
391,AT1G56130,AT1G56130.2,AT1G56130 IGP2/IGP3,IGP2/IGP3,RLK,LRR-VIII-2,Y,29,30,637,638-659,660-1032,65.8,95.6,Y,X071,115061,#22,3,O,O,,LRR-RK
392,AT1G56140,AT1G56140.1,AT1G56140 IGP4,IGP4,RLK,LRR-VIII-2,Y,28,29,636,637-658,659-1033,65.9,95.7,Y,X032,115062,#21,3,O,O,,LRR-RK
393,AT1G29750,AT1G29750.2,AT1G29750 RKF1,RKF1,RLK,LRR-VIII-2,Y,39,40,625,626-645,646-1021,65.3,95.1,Y,X030,115056,#20,5,O,O,,LRR-RK
394,AT1G29720,AT1G29720.1,AT1G29720 RKFL1,RKFL1,RLK,LRR-VIII-2,Y,26,27,615,616-636,637-1019,65.5,95.3,Y,X029,115054,#21,5,O,O,,LRR-RK
395,AT1G29730,AT1G29730.2,AT1G29730 RKFL2,RKFL2,RLK,LRR-VIII-2,Y,35,36,627,628-646,647-1001,66.2,96,Y,X066,115055,#21,3,O,O,,LRR-RK
396,AT1G29740,AT1G29740.1,AT1G29740 RKFL3,RKFL3,RLK,LRR-VIII-2,Y,34,35,628,629-649,650-1078,66.1,95.9,Y,X328,,#7,2,O,O,,LRR-RK
397,AT1G53430,AT1G53430.1,AT1G53430 NILR2,NILR2,RLK,LRR-VIII-2,Y,28,29,609,610-630,631-1038,64.5,94.3,Y,X031,115058,#21,5,O,O,,LRR-RK
398,AT1G53440,AT1G53440.1,AT1G53440 ,,RLK,LRR-VIII-2,Y,26,27,607,608-628,629-1035,64.7,94.5,Y,X069,115059,#21,5,O,O,,LRR-RK
399,AT1G07650,AT1G07650.2,AT1G07650 LMK1,LMK1,RLK,LRR-VIII-2,Y,23,24,625,626-649,650-1020,66.8,96.6,Y,X028,,#21,1,O,,,LRR-RK
400,AT3G14840,AT3G14840.2,AT3G14840 LIK1,LIK1,RLK,LRR-VIII-2,Y,26,27,614,615-635,636-1020,64,93.8,Y,X033,115063,,,,,,LRR-RK
401,AT1G53420,AT1G53420.1,AT1G53420 ,,RLK,LRR-VIII-2,Y,24,25,566,567-587,588-953,60.7,90.5,Y,X068,115057,#21,5,O,O,,LRR-RK
402,AT3G01840,AT3G01840.1,AT3G01840 LYK2,LYK2,RLK,LysM-II,Y,31,32,243,244-264,265-654,23.4,53.2,Y,G09,,#3,4,O,O,,LysM-RK
403,AT5G24010,AT5G24010.1,AT5G24010 ,,RLK,CrRLK1L-1,Y,24,25,409,410-430,431-824,43,72.8,Y,F07,,#16,0,,,,CrRLK1L-1
404,AT2G23200,AT2G23200.1,AT2G23200 ,,RLK,CrRLK1L-1,Y,28,29,401,402-424,425-834,41.7,71.5,Y,G03,,#16,5,O,O,,CrRLK1L-1
405,AT3G51550,AT3G51550.1,AT3G51550 FER,FER,RLK,CrRLK1L-1,Y,27,28,447,448-469,470-895,45.8,75.6,Y,D12,,,,,,,CrRLK1L-1
406,AT3G04690,AT3G04690.1,AT3G04690 ANX1,ANX1,RLK,CrRLK1L-1,Y,26,27,430,431-451,452-850,45.2,75,Y,F12,,#16,5,O,O,,CrRLK1L-1
407,AT5G28680,AT5G28680.1,AT5G28680 ANX2,ANX2,RLK,CrRLK1L-1,Y,25,26,434,435-455,456-858,45.2,75,Y,G01,,#16,5,O,O,,CrRLK1L-1
408,AT5G39030,AT5G39030.1,AT5G39030 MDS4,MDS4,RLK,LRK10L-2,Y,17,18,443,444-464,465-806,48.2,78,Y,G07,,#7,3,O,O,,Etc
409,AT5G39020,AT5G39020.1,AT5G39020 MDS3,MDS3,RLK,LRK10L-2,Y,21,22,439,440-460,461-813,46.6,76.4,Y,,,,,,,,Etc
410,AT5G38990,AT5G38990.1,AT5G38990 MDS1,MDS1,RLK,CrRLK1L-1,Y,19,20,440,441-461,462-880,47.1,76.9,Y,,,,,,,,CrRLK1L-1
411,AT5G39000,AT5G39000.1,AT5G39000 MDS2,MDS2,RLK,CrRLK1L-1,Y,21,22,440,441-465,466-873,46.8,76.6,Y,,,,,,,,CrRLK1L-1
412,AT1G69910,AT1G69910.1,AT1G69910 ,,RLK,WAKL,Y,26,27,256,257-277,278-636,25.6,55.4,Y,X290,,#4,3,O,O,,WAK
413,AT2G39360,AT2G39360.1,AT2G39360 CVY1,CVY1,RLK,CrRLK1L-1,Y,25,26,409,410-430,431-815,42.7,72.5,Y,,,,,,,,CrRLK1L-1
414,AT3G46290,AT3G46290.1,AT3G46290 HERK1,HERK1,RLK,CrRLK1L-1,Y,24,25,405,406-426,427-830,41.7,71.5,Y,F05,,#3,2,O,O,,CrRLK1L-1
415,AT5G59700,AT5G59700.1,AT5G59700 ANJ,ANJ,RLK,CrRLK1L-1,Y,24,25,405,406-427,428-829,42.2,72,Y,,,,,,,,CrRLK1L-1
416,AT5G54380,AT5G54380.1,AT5G54380 THE1,THE1,RLK,CrRLK1L-1,Y,23,24,416,417-437,438-855,42.6,72.4,Y,F06,,#16,1,O,O,,CrRLK1L-1
417,AT5G61350,AT5G61350.1,AT5G61350 CAP1/ERU,CAP1/ERU,RLK,CrRLK1L-1,Y,26,27,423,424-446,447-842,43.2,73,Y,,,,,,O,,CrRLK1L-1
418,AT1G34300,AT1G34300.1,AT1G34300 ,,RLK,SD-2b,Y,25,26,424,425-445,446-829,43.2,73,Y,X219,,#7,4,O,O,,SD-RK
419,AT1G15530,AT1G15530.1,AT1G15530 LECRK-S.1,LECRK-S.1,RLK,L-LEC,Y,29,30,304,305-325,326-656,30.2,60,Y,X235,,#4,4,O,O,,L-LEC-RK
420,AT1G49730,AT1G49730.1,AT1G49730 ,,RLK,URK-1,Y,55,56,284,285-305,306-693,24.5,54.3,Y,X304,,#4,2,O,O,,Etc
421,AT3G19300,AT3G19300.1,AT3G19300 ,,RLK,URK-1,Y,28,29,255,256-275,276-663,24.2,54.1,Y,X305,,#4,4,O,O,,Etc
422,AT5G06740,AT5G06740.1,AT5G06740 AT5G06740,AT5G06740,RLK,L-LEC,Y,24,25,267,268-291,292-652,26.8,56.6,Y,X262,,#5,5,O,O,,L-LEC-RK
423,AT4G23310,AT4G23310.1,AT4G23310 CRK23,CRK23,RLK,DUF26,Y,23,24,430,431-453,454-830,44.9,74.7,Y,X151,,#1,3,O,O,,CRK
424,AT2G20300,AT2G20300.1,AT2G20300 ALE2,ALE2,RLK,Extensin,Y,25,26,260,261-281,282-744,25.8,55.6,Y,X271,,#4,1,O,O,,Etc
425,AT1G52290,AT1G52290.1,AT1G52290 PERK15,PERK15,RLK,PERK,Y,0,1,62,63-82,83-509,6.2,36,Y,X130,,#2,5,O,O,,PERK
426,AT5G48740,AT5G48740.1,AT5G48740 ,,RLK,LRR-I,Y,16,17,546,547-567,568-895,58.8,88.6,Y,O03,114963,#19,4,O,O,,LRR-RK
427,AT1G70250,AT1G70250.1,AT1G70250 LTPG32,LTPG32,RLK,LRK10L-2,Y,19,20,404,405-423,424-799,41.5,71.3,Y,X301,,#4,3,O,O,,Etc
428,AT2G40270,AT2G40270.1,AT2G40270 ,,RLK,LRR-VI-2,Y,23,24,138,139-159,160-489,12.5,42.3,Y,,,,,,,,LRR-RK
429,AT3G56050,AT3G56050.1,AT3G56050 ,,RLK,LRR-VI-2,Y,31,32,146,147-167,168-499,12.5,42.3,Y,,,,,,,,LRR-RK
430,AT5G58540,AT5G58540.1,AT5G58540 ,,RLK,LRR-VI-2,Y,29,30,143,144-165,166-484,12,41.8,Y,,,,,,,,LRR-RK
431,AT3G24540,AT3G24540.1,AT3G24540 PERK3,PERK3,RLK,PERK,Y,0,1,125,126-144,145-509,13.2,43,Y,X128,,,,,,,PERK
432,AT5G56890,AT5G56890.1,AT5G56890 ,,RLK,Extensin,Y,22,23,630,631-651,652-1113,63.7,93.5,Y,X270,,#6,3,O,O,,Etc
433,AT1G26150,AT1G26150.1,AT1G26150 PERK10,PERK10,RLK,PERK,Y,0,1,328,329-349,350-762,33.2,63,Y,X138,,#2,0,,O,,PERK
434,AT1G68690,AT1G68690.1,AT1G68690 PERK9,PERK9,RLK,PERK,Y,0,1,280,281-301,302-708,28.2,58,Y,X139,,#3,1,O,O,,PERK
435,AT3G24550,AT3G24550.1,AT3G24550 PERK1,PERK1,RLK,PERK,Y,0,1,143,144-162,163-652,13.7,43.5,Y,X129,,#2,5,O,O,,PERK
436,AT5G38560,AT5G38560.1,AT5G38560 PERK8,PERK8,RLK,PERK,Y,0,1,238,239-259,260-681,23,52.8,Y,X140,,#3,5,O,O,,PERK
437,AT1G70460,AT1G70460.1,AT1G70460 PERK13/RHS10,PERK13/RHS10,RLK,PERK,Y,0,1,238,239-256,257-710,23.1,52.9,Y,X135,,#2,4,O,O,,PERK
438,AT1G23540,AT1G23540.1,AT1G23540 PERK12/IGI1,PERK12/IGI1,RLK,PERK,Y,0,1,246,247-267,268-720,24,53.8,Y,X136,,#2,5,O,O,,PERK
439,AT4G34440,AT4G34440.1,AT4G34440 PERK5,PERK5,RLK,PERK,Y,0,1,188,189-209,210-670,18.4,48.2,Y,X133,,#2,5,O,O,,PERK
